,District,Taluk,% Angawadis in rented building,%Anganwadis in Own building,No.of Anganawadi Workers,No. of Anganawadi Helpers,% children in Anganwadi,Sites available for Urban Anagwadi (as per GIS 2022-23),Per Capita Income (at constant prices),Total children age 6-23 months receiving an adequate diet (%),Children under age 3 years breastfed within one hour of birth(%),Children with diarrhoea  who received oral rehydration salts (ORS)(%),Children under 5 years who are underweight (weight-for-age) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),Medical officer-MBBS - Deficit,Health Assistant (male/female) - Deficit,Deprivation % - Households with Not even one household member has completed six years of schooling.,Deprivation % - Households with Any school age children not attending school (6-14),"Deprivation % - Households that have inadequate housing material in either floor, roofor wall",Deprivation % - Households that cook using solid fuel,Deprivation % - Households with no safe drinking water or 30 min away,Deprivation % - Households that have no electricity,Deprivation % - Households with no sanitation facility,Deprivation % - No household member has a bank account or a post office account.,Children age 6 to 59 months who are stunted (height-for-age) (%),Children age 6 to 59 months who are severely wasted (weight-for-height) (%),Children under age 6 months exclusively breastfed(%),Children age 9-35 months who received a vitamin A dose(%),children low birth weight (%),Number of total notification case of Tuberculosis,Children age 12-23 months fully vaccinated based(%),Received Health Insurance (%),Gap in CHC Doctor,Gap in CHC Labtech,Gap in CHC pharmacist,Gap in CHC Staff Nurse( 1shift),Gap in PHC Doctor,Gap in PHC Labtech,Gap in PHC Pharmacist,Gap in PHC Staff Nurse,Number of Asha Working_Per_1000_Population,Number of CHO Working_Per_1000_Population,Gap in number of Subcentre,Gap in number of PHC,Gap in number of CHC,Under5_mortality (per 1000),MMR  (per 1 lakh),infantmortality_Neg,% Adolescent girls aged 15-19 years who are anaemic (%),%Pregnant women age 15-49 years who are anaemic ,%Children age 6-59 months who are anaemic (%),Prevalence of diarrhoea under 5 years of age (%),No. of Anganwadis/UPHCs have conducted at least one Village Health Sanitation & Nutrition day / Urban Health Sanitation & Nutrit,Deprivation % - Households with adult between 15-49 whose BMI is below normal or children under 5 years who are stunted or waste,Deprivation % - Households with with any woman has not received at least 4 antenatal care visits for the most recent birth or ha
48,Chikballapur,Chinthamani,18.26086956521739,48.69565217391305,460.0,429.0,78.88237557633151,11.30232558139535,153364.0,2.330832857618572,42.94102801723974,89.92524935382079,38.52506800225054,10.51749915428487,9.0375,1.0,10.0862,4.8404,33.9638,7.4122,2.4466,1.091574778761062,11.0398,3.4796,29.29173,3.520604,54.90146,36.02314,22.76519,367.0,88.66593,21.56339,1.3911111111111112,5.0,2.0,2.0,-1.0,4.0,2.0,9.0,0.678806,0.103033,26.957,-1.0,1.0,12.641824981675217,114.6876400615399,42.520833963952256,59.3611485537597,28.08522562093991,68.65251983447243,2.027335,460.0,37.3746,0.4689
49,Chitradurga,Chitradurga,24.150943396226417,61.50943396226415,524.0,514.0,68.339686498679,3.0,127469.0,8.88250900689223,58.7492191229562,100.0,20.2861926592738,39.87218362973179,4.0,26.953846153846154,7.4692,0.0607,42.2044,21.3044,9.4044,0.2715,40.4165,1.2795,28.86311,5.924043,70.83197,68.48005,24.66941,468.0,86.71842,37.674,5.0,9.0,1.0933333333333333,6.0,1.0,7.0,4.0,17.0,0.700793,0.067546,24.6926,-4.0,1.0,12.641824981675217,47.539561924520385,13.997169903926487,61.69918895588539,48.71806251740463,66.9096951643068,4.214442,530.0,32.8288,8.6332
50,Bidar,Chittaguppa,24.0,76.0,120.0,102.0,85.28954882310144,11.30232558139535,105611.0,8.070731764928194,47.68342545351474,74.52442956349206,38.9379351358518,16.28044690098261,5.0,10.0,11.2108,8.7217,44.3801,31.7221,3.4732,1.4858,49.5707,5.1809,46.63354,10.87533,53.56953,35.54316,33.54254,106.0,31.60714,24.62441,12.0,10.0,4.0,10.0,5.0,5.0,5.0,10.0,0.7684136860465115,0.13270830128205127,6.1598,-1.486725663716814,-1.0,12.641824981675217,22.341691088370357,19.006897918045077,52.72012336680704,63.10918898809524,72.878138314026,5.369898,125.0,51.8958,13.5166
51,Kalaburgi,Chittapur,104.06504065040652,86.1788617886179,123.0,123.0,35.68430167279366,2.0,102692.0,13.78598484848485,29.23869448452781,55.33333333333334,50.74755862824044,11.52202687358937,1.0,16.0,13.414,3.1652,46.3973,48.4136,8.301,1.6359,79.2817,3.9793,70.20774,5.680556,52.93049,44.81896,37.96233,443.0,60.13889,18.79802,4.0,8.0,3.0,10.0,-0.32888888888888895,3.0,3.0,15.0,0.645514,0.079901,23.5452,-2.0,1.0752212389380533,10.134159614402167,205.08099016294088,22.351641806722686,64.55902430902431,36.38392857142857,76.56726354467517,13.51409,122.0,40.9191,15.9477
52,Uttara Kannada,Dandelli,52.94117647058824,47.05882352941176,67.0,59.0,66.91340243710073,11.30232558139535,66599.0,11.44444444444444,62.95026785714286,100.0,40.92501803751804,7.24719387755102,9.0375,26.953846153846154,10.9632,4.5891,50.7261,62.0117,4.9253,3.6879,11.6738,6.8698,29.67679,13.93704,46.35835,38.57286,44.93875,52.0,70.6875,26.66975,1.3911111111111112,3.0,1.0933333333333333,-7.0,-0.32888888888888895,3.9599999999999995,4.52,8.351111111111111,0.7684136860465115,0.13270830128205127,15.76967,3.0,1.0752212389380533,17.48264143399747,15.959178535630201,50.39049642753057,42.60595592403628,16.05208333333333,66.98611111111111,11.22371,68.0,39.1979,3.5527
53,Davanagere,Davanagere,38.22393822393823,50.57915057915058,518.0,498.0,46.6120238072135,13.0,174161.0,6.96476158213963,39.12485800374921,39.09044715447155,28.34241313395277,21.12140967498109,14.0,26.0,3.1781,0.4811,61.4723,27.1945,5.9232,2.3388,20.3999,8.2808,31.91024,3.23818,50.09323,39.97961,34.36562,969.0,60.36585,24.81642,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,8.0,6.0,28.0,0.436932,0.046954,79.9342,-12.0,5.0,45.60371826480975,152.53854031562506,17.23760975706903,50.93447080729311,16.63271067234481,67.69829978073372,17.38868,513.0,28.8998,5.3352
54,Bengaluru Rural,Devanahalli,5.681818181818182,78.03030303030303,263.0,237.0,63.854121423135645,4.0,168222.0,20.3417545995671,33.62984680009419,79.80617183742184,24.50660999879749,38.19223578793889,9.0375,26.953846153846154,3.4459,0.0611,20.5309,4.2817,4.1595,0.5054,9.4935,3.1099,35.90797,2.839772,51.92423,55.25974,33.76742,152.0,75.02381,35.48214,-1.0,3.0,1.0933333333333333,3.0,-1.0,3.0,-1.0,12.0,0.600913,0.141154,9.7574,-4.0,1.0,66.33268111245054,106.80754733210563,7.537877243416306,42.60014669798896,23.57437563882877,61.79807234682137,5.502602,264.0,24.982,2.0992
55,Vijayapura,Devara Hipparagi,35.338345864661655,64.66165413533834,133.0,133.0,79.58299359609944,11.30232558139535,135545.0,5.206018518518517,50.02017195767196,64.18055555555556,38.57746111912778,11.13244348244348,4.0,8.0,8.5434,4.779,38.6417,51.3616,10.4642,0.7808,58.3169,4.5308,52.40989,8.483245,54.16583,40.81604,30.20258,25.0,63.63889,19.463,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,1.0,1.0,4.0,0.7684136860465115,0.13270830128205127,7.0342,1.0,1.0,73.57399879920852,87.94119914217114,23.237306225154025,44.44314373897707,55.18055555555556,62.66071428586905,8.935753,133.0,48.4576,20.415
56,Raichur,Devdurga,15.271966527196653,78.03347280334728,468.0,443.0,96.2576804824638,11.30232558139535,93051.0,4.491587502004169,52.43547674400848,96.1026936026936,44.85824395472964,22.78003305316614,1.0,12.0,19.6762,8.764,32.4283,47.4621,20.9493,0.1292,56.0864,1.9128,49.82984,9.704314,54.23248,38.23495,37.16646,489.0,28.40904,13.51759,1.3911111111111112,4.0,1.0,-2.0,-7.0,5.0,6.0,-16.0,0.754155,0.086542,38.4854,3.0,1.0752212389380533,27.362230958885853,102.95499501153873,72.32758088603597,59.62714863582919,55.34411576078243,82.310061898942,3.692423,478.0,57.4429,21.116
57,Dharwad,Dharwad,110.50583657587549,72.37354085603113,255.0,249.0,43.46071481585139,6.0,79630.0,16.8547619047619,75.13503401360543,24.82142857142857,49.77864357864357,15.62558893927942,6.0,26.953846153846154,4.63,5.4593,56.9248,30.7515,4.3133,0.6565,14.6386,3.3401,53.12215,9.183577,48.19696,35.14045,36.66274,650.0,32.2381,14.11491,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-5.0,1.0,4.52,-3.0,1.092356,0.129785,156.3033,6.0,4.0,9.77014060105284,67.95423187020677,4.019691156462585,58.08183106575964,82.44444444444444,65.2712842725062,1.391071,257.0,53.1702,3.6453
